date,description,amount,category
2025-05-08,Local food store,237.34,food
2025-05-09,Auto fare,153.38,transport
2025-05-09,Milk and bread,226.85,food
2025-05-09,Bus pass,138.1,transport
2025-05-09,Metro ticket,156.14,transport
2025-05-10,Vegetables market,211.16,food
2025-05-10,Local food store,259.68,food
2025-05-10,Water bill,892.09,utilities
2025-05-10,Milk and bread,200.67,food
2025-05-10,Mobile recharge,895.35,utilities
2025-05-10,Auto fare,104.41,transport
2025-05-10,Milk and bread,213.41,food
2025-05-11,Milk and bread,218.33,food
2025-05-11,Mobile recharge,905.01,utilities
2025-05-11,Local food store,183.39,food
2025-05-11,Electricity bill,908.34,utilities
2025-05-11,Bus pass,131.4,transport
2025-05-11,Mobile recharge,892.57,utilities
2025-05-12,Metro ticket,146.65,transport
2025-05-12,Electricity bill,931.27,utilities
2025-05-12,Grocery shopping,229.93,food
2025-05-12,Local food store,226.07,food
2025-05-13,Electricity bill,905.08,utilities
2025-05-13,Local food store,229.33,food
2025-05-13,Local food store,220.91,food
2025-05-13,Petrol refill,152.37,transport
2025-05-14,Local food store,180.49,food
2025-05-14,Milk and bread,236.23,food
2025-05-14,Grocery shopping,190.35,food
2025-05-14,Petrol refill,122.86,transport
2025-05-14,Water bill,879.87,utilities
2025-05-14,Petrol refill,154.29,transport
2025-05-14,Milk and bread,239.41,food
2025-05-15,Milk and bread,200.57,food
2025-05-15,Water bill,928.75,utilities
2025-05-16,Vegetables market,227.45,food
2025-05-16,Metro ticket,149.02,transport
2025-05-16,Mobile recharge,894.99,utilities
2025-05-16,Mobile recharge,912.73,utilities
2025-05-16,Internet bill,894.49,utilities
2025-05-16,Vegetables market,241.69,food
2025-05-16,Bus pass,118.99,transport
2025-05-17,Bus pass,98.28,transport
2025-05-17,Grocery shopping,232.32,food
2025-05-17,Internet bill,893.6,utilities
2025-05-17,Grocery shopping,224.77,food
2025-05-17,Grocery shopping,202.43,food
2025-05-17,Bus pass,131.03,transport
2025-05-17,Electricity bill,892.22,utilities
2025-05-17,Local food store,216.04,food
2025-05-17,Bus pass,135.37,transport
2025-05-18,Grocery shopping,222.82,food
2025-05-18,Milk and bread,177.34,food
2025-05-18,Electricity bill,879.07,utilities
2025-05-18,Milk and bread,214.59,food
2025-05-19,Electricity bill,910.45,utilities
2025-05-19,Grocery shopping,254.51,food
2025-05-19,Auto fare,127.75,transport
2025-05-19,Milk and bread,192.66,food
2025-05-19,Local food store,216.52,food
2025-05-19,Internet bill,910.43,utilities
2025-05-19,Electricity bill,913.73,utilities
2025-05-19,Auto fare,169.26,transport
2025-05-20,Local food store,243.23,food
2025-05-20,Local food store,199.79,food
2025-05-20,Internet bill,948.3,utilities
2025-05-20,Petrol refill,81.5,transport
2025-05-20,Internet bill,892.29,utilities
2025-05-20,Electricity bill,925.36,utilities
2025-05-20,Metro ticket,93.64,transport
2025-05-21,Bus pass,140.99,transport
2025-05-21,Grocery shopping,251.46,food
2025-05-21,Grocery shopping,204.92,food
2025-05-22,Water bill,896.95,utilities
2025-05-22,Auto fare,99.91,transport
2025-05-22,Petrol refill,197.45,transport
2025-05-22,Bus pass,143.13,transport
2025-05-22,Grocery shopping,223.37,food
2025-05-23,Petrol refill,108.47,transport
2025-05-23,Milk and bread,204.54,food
2025-05-23,Metro ticket,108.75,transport
2025-05-23,Internet bill,889.31,utilities
2025-05-23,Mobile recharge,921.6,utilities
2025-05-23,Internet bill,906.46,utilities
2025-05-23,Metro ticket,133.79,transport
2025-05-24,Milk and bread,219.56,food
2025-05-24,Bus pass,127.64,transport
2025-05-24,Vegetables market,205.74,food
2025-05-24,Metro ticket,165.4,transport
2025-05-24,Auto fare,130.15,transport
2025-05-24,Petrol refill,145.24,transport
2025-05-24,Local food store,224.55,food
2025-05-24,Internet bill,906.72,utilities
2025-05-25,Bus pass,125.22,transport
2025-05-25,Bus pass,139.38,transport
2025-05-25,Internet bill,873.67,utilities
2025-05-25,Metro ticket,121.33,transport
2025-05-25,Internet bill,853.29,utilities
2025-05-25,Water bill,932.53,utilities
2025-05-26,Grocery shopping,235.59,food
2025-05-26,Electricity bill,907.22,utilities
2025-05-26,Local food store,218.73,food
2025-05-26,Bus pass,123.94,transport
2025-05-26,Milk and bread,238.76,food
2025-05-26,Bus pass,134.37,transport
2025-05-26,Grocery shopping,210.62,food
2025-05-27,Vegetables market,243.26,food
2025-05-27,Local food store,228.63,food
2025-05-27,Grocery shopping,184.63,food
2025-05-27,Water bill,880.07,utilities
2025-05-27,Grocery shopping,218.32,food
2025-05-27,Petrol refill,115.59,transport
2025-05-27,Water bill,890.32,utilities
2025-05-27,Petrol refill,117.49,transport
2025-05-27,Milk and bread,229.47,food
2025-05-27,Bus pass,157.35,transport
2025-05-27,Mobile recharge,921.39,utilities
2025-05-28,Electricity bill,884.02,utilities
2025-05-28,Electricity bill,919.17,utilities
2025-05-28,Vegetables market,253.47,food
2025-05-28,Grocery shopping,234.62,food
2025-05-28,Grocery shopping,218.57,food
2025-05-28,Grocery shopping,184.43,food
2025-05-28,Milk and bread,197.57,food
2025-05-29,Water bill,890.66,utilities
2025-05-29,Internet bill,894.46,utilities
2025-05-29,Milk and bread,198.01,food
2025-05-29,Petrol refill,131.75,transport
2025-05-29,Mobile recharge,885.3,utilities
2025-05-29,Petrol refill,129.38,transport
2025-05-29,Auto fare,139.35,transport
2025-05-29,Vegetables market,253.66,food
2025-05-29,Internet bill,888.25,utilities
2025-05-29,Mobile recharge,876.8,utilities
2025-05-30,Petrol refill,141.95,transport
2025-05-30,Petrol refill,151.35,transport
2025-05-30,Water bill,922.41,utilities
2025-05-30,Internet bill,910.64,utilities
2025-05-30,Metro ticket,140.12,transport
2025-05-30,Auto fare,145.79,transport
2025-05-31,Mobile recharge,914.93,utilities
2025-05-31,Grocery shopping,262.86,food
2025-05-31,Metro ticket,134.81,transport
2025-05-31,Grocery shopping,205.84,food
2025-05-31,Grocery shopping,233.39,food
2025-05-31,Water bill,908.98,utilities
2025-05-31,Metro ticket,150.85,transport
2025-05-31,Mobile recharge,909.89,utilities
2025-05-31,Bus pass,128.52,transport
2025-06-01,Electricity bill,926.16,utilities
2025-06-01,Internet bill,918.41,utilities
2025-06-01,Bus pass,124.09,transport
2025-06-01,Local food store,208.7,food
2025-06-01,Bus pass,105.41,transport
2025-06-01,Electricity bill,887.92,utilities
2025-06-02,Vegetables market,265.82,food
2025-06-02,Bus pass,132.91,transport
2025-06-02,Bus pass,113.93,transport
2025-06-02,Local food store,202.67,food
2025-06-02,Local food store,223.84,food
2025-06-03,Vegetables market,230.27,food
2025-06-03,Bus pass,87.61,transport
2025-06-03,Internet bill,891.64,utilities
2025-06-03,Milk and bread,219.73,food
2025-06-03,Vegetables market,219.67,food
2025-06-03,Bus pass,141.53,transport
2025-06-03,Metro ticket,115.57,transport
2025-06-03,Water bill,875.0,utilities
2025-06-04,Grocery shopping,228.08,food
2025-06-04,Petrol refill,117.02,transport
2025-06-04,Internet bill,903.01,utilities
2025-06-04,Electricity bill,890.25,utilities
2025-06-04,Vegetables market,228.36,food
2025-06-05,Grocery shopping,232.57,food
2025-06-05,Auto fare,144.68,transport
2025-06-05,Metro ticket,123.09,transport
2025-06-06,Bus pass,77.29,transport
2025-06-06,Milk and bread,223.6,food
2025-06-06,Electricity bill,880.42,utilities
2025-06-06,Local food store,248.41,food
2025-06-06,Bus pass,126.61,transport
2025-06-07,Local food store,224.36,food
2025-06-07,Local food store,201.42,food
2025-06-07,Metro ticket,128.46,transport
2025-06-07,Local food store,218.02,food
2025-06-07,Mobile recharge,921.64,utilities
2025-06-07,Water bill,897.86,utilities
2025-06-07,Local food store,247.84,food
2025-06-08,Grocery shopping,207.97,food
2025-06-08,Vegetables market,193.76,food
2025-06-08,Electricity bill,916.97,utilities
2025-06-09,Mobile recharge,944.71,utilities
2025-06-09,Bus pass,121.07,transport
2025-06-09,Water bill,904.94,utilities
2025-06-09,Water bill,924.13,utilities
2025-06-09,Electricity bill,880.12,utilities
2025-06-09,Mobile recharge,907.44,utilities
2025-06-09,Vegetables market,219.72,food
2025-06-10,Grocery shopping,260.57,food
2025-06-10,Local food store,240.84,food
2025-06-10,Grocery shopping,211.46,food
2025-06-10,Milk and bread,220.22,food
2025-06-10,Local food store,176.96,food
2025-06-10,Bus pass,164.55,transport
2025-06-10,Milk and bread,235.54,food
2025-06-10,Grocery shopping,235.38,food
2025-06-11,Local food store,194.83,food
2025-06-11,Milk and bread,228.34,food
2025-06-11,Bus pass,137.3,transport
2025-06-11,Local food store,209.52,food
2025-06-11,Local food store,243.89,food
2025-06-11,Water bill,899.43,utilities
2025-06-11,Local food store,252.12,food
2025-06-11,Vegetables market,245.51,food
2025-06-11,Local food store,200.1,food
2025-06-11,Internet bill,904.17,utilities
2025-06-12,Local food store,229.52,food
2025-06-12,Metro ticket,137.01,transport
2025-06-12,Metro ticket,106.17,transport
2025-06-13,Grocery shopping,208.37,food
2025-06-13,Grocery shopping,231.32,food
2025-06-13,Bus pass,125.53,transport
2025-06-13,Local food store,203.83,food
2025-06-13,Electricity bill,922.07,utilities
2025-06-13,Local food store,168.92,food
2025-06-13,Milk and bread,233.33,food
2025-06-13,Mobile recharge,898.22,utilities
2025-06-13,Electricity bill,895.47,utilities
2025-06-13,Water bill,914.45,utilities
2025-06-13,Mobile recharge,917.85,utilities
2025-06-14,Bus pass,137.11,transport
2025-06-14,Mobile recharge,913.93,utilities
2025-06-14,Local food store,213.84,food
2025-06-14,Milk and bread,201.93,food
2025-06-14,Milk and bread,193.91,food
2025-06-14,Metro ticket,103.34,transport
2025-06-14,Bus pass,117.11,transport
2025-06-14,Local food store,234.14,food
2025-06-15,Bus pass,113.74,transport
2025-06-15,Grocery shopping,247.18,food
2025-06-15,Electricity bill,898.06,utilities
2025-06-16,Water bill,895.73,utilities
2025-06-16,Auto fare,99.35,transport
2025-06-17,Metro ticket,92.4,transport
2025-06-17,Grocery shopping,212.34,food
2025-06-17,Bus pass,130.14,transport
2025-06-17,Vegetables market,168.83,food
2025-06-17,Local food store,205.62,food
2025-06-17,Metro ticket,125.26,transport
2025-06-17,Grocery shopping,237.66,food
2025-06-17,Local food store,245.81,food
2025-06-17,Auto fare,109.31,transport
2025-06-17,Milk and bread,207.08,food
2025-06-18,Vegetables market,227.42,food
2025-06-18,Milk and bread,252.78,food
2025-06-18,Auto fare,139.6,transport
2025-06-19,Milk and bread,203.39,food
2025-06-19,Petrol refill,124.98,transport
2025-06-19,Milk and bread,211.25,food
2025-06-20,Local food store,222.58,food
2025-06-20,Water bill,915.78,utilities
2025-06-20,Petrol refill,162.46,transport
2025-06-20,Petrol refill,136.93,transport
2025-06-20,Grocery shopping,216.18,food
2025-06-20,Grocery shopping,245.12,food
2025-06-20,Petrol refill,129.38,transport
2025-06-21,Petrol refill,97.14,transport
2025-06-21,Milk and bread,225.51,food
2025-06-21,Grocery shopping,170.37,food
2025-06-21,Metro ticket,157.77,transport
2025-06-21,Bus pass,169.3,transport
2025-06-22,Metro ticket,115.68,transport
2025-06-22,Local food store,237.39,food
2025-06-22,Internet bill,910.46,utilities
2025-06-23,Electricity bill,863.29,utilities
2025-06-23,Vegetables market,239.24,food
2025-06-23,Vegetables market,234.62,food
2025-06-23,Auto fare,131.85,transport
2025-06-23,Water bill,880.03,utilities
2025-06-24,Vegetables market,242.44,food
2025-06-24,Local food store,241.15,food
2025-06-24,Metro ticket,125.25,transport
2025-06-24,Auto fare,107.98,transport
2025-06-25,Internet bill,896.01,utilities
2025-06-25,Milk and bread,215.16,food
2025-06-25,Water bill,910.82,utilities
2025-06-25,Petrol refill,126.08,transport
2025-06-25,Internet bill,896.92,utilities
2025-06-25,Grocery shopping,221.66,food
2025-06-25,Mobile recharge,881.91,utilities
2025-06-26,Mobile recharge,912.07,utilities
2025-06-26,Water bill,907.74,utilities
2025-06-26,Milk and bread,211.77,food
2025-06-26,Bus pass,134.79,transport
2025-06-26,Petrol refill,140.16,transport
2025-06-26,Local food store,229.89,food
2025-06-26,Water bill,876.6,utilities
2025-06-27,Metro ticket,122.89,transport
2025-06-27,Metro ticket,114.86,transport
2025-06-27,Internet bill,902.5,utilities
2025-06-27,Internet bill,907.42,utilities
2025-06-28,Petrol refill,134.67,transport
2025-06-28,Bus pass,103.06,transport
2025-06-28,Grocery shopping,218.39,food
2025-06-28,Local food store,256.87,food
2025-06-28,Internet bill,888.75,utilities
2025-06-28,Bus pass,133.96,transport
2025-06-28,Vegetables market,213.15,food
2025-06-28,Metro ticket,146.64,transport
2025-06-28,Metro ticket,141.33,transport
2025-06-28,Metro ticket,81.61,transport
2025-06-29,Bus pass,123.86,transport
2025-06-29,Grocery shopping,226.0,food
2025-06-29,Metro ticket,101.4,transport
2025-06-30,Grocery shopping,238.07,food
2025-06-30,Petrol refill,168.23,transport
2025-06-30,Electricity bill,920.66,utilities
2025-06-30,Metro ticket,135.6,transport
2025-06-30,Electricity bill,914.3,utilities
2025-06-30,Mobile recharge,908.45,utilities
